,borough,year,all_ages,minor,18_24,25_34,35_44,45_54,55_64,65+,houses_sold,average_price,all_ages_change,all_ages_pct_change,minor_change,minor_pct_change,18_24_change,18_24_pct_change,25_34_change,25_34_pct_change,35_44_change,35_44_pct_change,45_54_change,45_54_pct_change,55_64_change,55_64_pct_change,65+_change,65+_pct_change,houses_sold_change,houses_sold_pct_change,average_price_change,average_price_pct_change
27,barnet,2015,379691,88822,30084,63696,57580,50096,36394,53019,5125,478688,4776.0,0.012738887481162475,839.0,0.009535933077980951,-305.0,-0.010036526374675003,-62.0,-0.0009724269895542426,1098.0,0.019439821536064494,1171.0,0.023934593765968293,744.0,0.02086956521739136,1291.0,0.02495746984225189,67.0,0.013246342427837066,48325.0,0.11228892818388192
28,bexley,2002,219123,51579,16705,29715,34697,27920,23671,34836,5738,136798,,,,,,,,,,,,,,,,,,,,
29,bexley,2003,220016,51670,17077,29144,35069,27770,24228,35058,5194,164482,893.0,0.004075336683050157,91.0,0.0017642839139959676,372.0,0.022268781801855653,-571.0,-0.019215884233552027,372.0,0.010721388016255107,-150.0,-0.005372492836676179,557.0,0.023530902792446406,222.0,0.006372717878057266,-544.0,-0.0948065528058557,27684.0,0.20237137969853358
30,bexley,2004,220917,52072,17276,28472,35447,27931,24417,35302,5066,179141,901.0,0.004095156715875126,402.0,0.007780143216566726,199.0,0.01165310066170866,-672.0,-0.023057919297282514,378.0,0.010778750463372289,161.0,0.005797623334533597,189.0,0.007800891530460596,244.0,0.006959895031091401,-128.0,-0.024643819792067756,14659.0,0.08912221398086118
31,bexley,2005,222391,52556,17472,28171,35566,28564,24603,35459,4055,186512,1474.0,0.006672189102694626,484.0,0.009294822553387538,196.0,0.011345218800648205,-301.0,-0.010571789828603517,119.0,0.003357124721415028,633.0,0.022662990941964223,186.0,0.007617643445140709,157.0,0.004447340094045682,-1011.0,-0.19956573233320174,7371.0,0.04114635957151069
32,bexley,2006,223280,52739,17775,27739,35382,29130,25052,35463,4998,191831,889.0,0.003997463926148193,183.0,0.003482000152218667,303.0,0.017342032967033072,-432.0,-0.015334918888218363,-184.0,-0.005173480290164734,566.0,0.019815151939504227,449.0,0.01824980693411371,4.0,0.00011280633971622045,943.0,0.2325524044389642,5319.0,0.028518272282748613
33,bexley,2007,224625,52966,18507,27529,35055,29844,25077,35647,5004,208085,1345.0,0.006023826585453307,227.0,0.004304215096986974,732.0,0.04118143459915613,-210.0,-0.007570568513645015,-327.0,-0.00924198745124638,714.0,0.024510813594232683,25.0,0.0009979243174198515,184.0,0.005188506330541687,6.0,0.0012004801920768582,16254.0,0.08473083078334587
34,bexley,2008,226652,53348,19191,27682,34587,30716,25068,36060,2487,210199,2027.0,0.009023928770172551,382.0,0.007212173847373826,684.0,0.03695898849084123,153.0,0.005557775436812129,-468.0,-0.01335044929396667,872.0,0.029218603404369325,-9.0,-0.00035889460461779876,413.0,0.011585827699385653,-2517.0,-0.5029976019184652,2114.0,0.010159309897397772
35,bexley,2009,228146,53334,19814,27711,33951,31841,25093,36402,2173,189050,1494.0,0.006591602986075529,-14.0,-0.00026242783234609046,623.0,0.032463133760616936,29.0,0.0010476121667508664,-636.0,-0.01838841183103479,1125.0,0.036625862742544646,25.0,0.0009972873783310465,342.0,0.009484193011647157,-314.0,-0.1262565339766787,-21149.0,-0.10061417989619359
36,bexley,2010,230711,53916,20440,28166,33286,32863,25209,36831,2470,200874,2565.0,0.011242800662733421,582.0,0.01091236359545511,626.0,0.031593822549712325,455.0,0.016419472411677738,-665.0,-0.01958705192777832,1022.0,0.032096981878709796,116.0,0.004622803172199319,429.0,0.011785066754574025,297.0,0.13667740450989418,11824.0,0.06254430044961645
